"Aircraft: Airline/Operator","Aircraft: Make/Model","Aircraft: Type","Airport: Name","Altitude bin","Conditions: Precipitation","Conditions: Sky","Effect: Impact to flight","Effect: Indicated Damage","Effect: Other","FlightDate","Number of human fatalities","Number of people injured","Origin State","Remarks","When: Phase of flight","When: Time of day","Wildlife: Number struck","Wildlife: Size","Wildlife: Species","Aircraft: Flight Number","Aircraft: Number of engines?","Cost: Other (inflation adj)","Cost: Repair (inflation adj)","Cost: Total $","Feet above ground","Miles from airport","Number of Records","Record ID","Speed (IAS) in knots"
"US AIRWAYS*","FOKKER F100","Airplane","SAVANNAH INTL","< 1000 ft","None","No Cloud","None","No damage",,7/4/2001 0:00,,,"Georgia","NO DMG.FLT 1073. 2 BIRDS STRUCK. TIME REPTD AS 0855 AND 0930.","Landing Roll","Day","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"201,413",120
"US AIRWAYS*","B-737-200","Airplane","BRADLEY INTL","< 1000 ft","None","Some Cloud","None","No damage",,7/1/2001 0:00,,,"Connecticut","NO DMG.","Landing Roll","Night",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"209,205",100
"US AIRWAYS*","A-319","Airplane","GREATER PITTSBURGH","< 1000 ft","None","No Cloud","None","No damage",,6/28/2001 0:00,,,"Pennsylvania",,"Climb","Day",1,"Small","Unknown bird - small",,2,0,0,0,100,,1,"207,585",155
"US AIRWAYS*","B-737-200","Airplane","PALM BEACH INTL","< 1000 ft","None","No Cloud","None","No damage",,6/26/2001 0:00,,,"Florida","CAPT ADZ A SML BIRD HIT LDG GEAR OR RADOME. NO DMG.","Climb","Day",1,"Small","Unknown bird - small",,2,0,0,0,125,,1,"205,434",
"US AIRWAYS*","A-319","Airplane","DALLAS/FORT WORTH INTL ARPT","> 1000 ft","None","No Cloud","None","No damage",,6/25/2001 0:00,,,"Texas",,"Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,"1,500",,1,"207,542",180
"US AIRWAYS*","B-737","Airplane","NORFOLK INTL","< 1000 ft","None","No Cloud","None","No damage",,6/25/2001 0:00,,,"Virginia","NO DMG. FLT 649","Take-off run","Day",1,,"Gulls",,2,0,0,0,0,0,1,"207,137",
"US AIRWAYS*","B-737-300","Airplane","RONALD REAGAN WASHINGTON NATL","< 1000 ft","None","No Cloud","Precautionary Landing","Caused damage",,6/25/2001 0:00,,,"DC","PITOT TUBE","Climb","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,25,,1,"205,824",130
"US AIRWAYS*","MD-80","Airplane","SAVANNAH INTL","< 1000 ft","None","Some Cloud","None","No damage",,6/22/2001 0:00,,,"Georgia","NO DMG.","Take-off run","Dawn","2 to 10","Small","Rock pigeon",,2,0,0,0,0,0,1,"206,762",140
"US AIRWAYS*","B-737-300","Airplane","THEODORE FRANCIS GREEN STATE","Unknown","None","No Cloud","Precautionary Landing","Caused damage","EMERGENCY LANDING",6/19/2001 0:00,,,"Rhode Island","AT ROTATION, FELT AN UNUSUAL VIBRATION, FIRST THOUGHT THERE MAY BE A TIRE PROBLEM. ASKED TWR TO CHECK RWY.  BIRDS FOUND. CONTD TO DCA AFTER CONFERRING WITH DISPATCH AND MX. CAPT SAID 2 FAN BLADES BENT AND FEATHERS ON GEAR DOOR. EMERG. EQUIP ON FIELD AS A","Climb","Dawn","2 to 10","Small","Mourning dove",981,2,0,0,0,,,1,"205,235",
"US AIRWAYS*","B-737-300","Airplane","PIEDMONT TRIAD INTL","< 1000 ft","None","No Cloud","None","No damage",,6/16/2001 0:00,,,"North Carolina","PART STRUCK/DAMAGED NOT CHECKED.","Take-off run","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"210,458",110
"US AIRWAYS*","FOKKER F100","Airplane","NORFOLK INTL","< 1000 ft","Rain","Overcast","None","No damage",,6/16/2001 0:00,,,"Virginia","AT ROTATION, CREW SAW 8-10 GULLS. INGESTION SUSPECTED DUE TO SMELL IN CABIN. NO DMG. ENG HAD BIRD REMAINS STILL VISIBLE INSIDE AND NEEDED A BORESCOPE. (DATA ENTRY NOTE: 2 FORMS SHOWS ENG #2, 1 SHOWED #1 ENG. FLT 982","Take-off run","Dawn","2 to 10",,"Gulls",,2,0,0,0,0,0,1,"203,632",
"US AIRWAYS*","B-737-200","Airplane","ORLANDO INTL","< 1000 ft","None","Some Cloud","Aborted Take-off","Caused damage",,6/13/2001 0:00,,,"Florida","FLT 2712 ABTD T/O BELIEVING THEY HAD A BLOWN TIRE. TAXIED TO RAMP. FAN BLADE FAILURE. INGESTION IN BOTH ENGS. ALTHOUGH TWO ENGS REPTD DAMAGED, CALL TO P&W SHOWED ONLY 1 ENG HAD DAMAGE.  ENG WAS REMOVED, BUT NOT BECAUSE OF BIRD STRIKE (C-9 DISK LIFE). FOUN","Take-off run","Day","2 to 10","Small","Mourning dove",,2,0,"19,524","19,524",0,0,1,"205,386",120
"US AIRWAYS*","B-737-300","Airplane","UNKNOWN","Unknown",,,,"No damage",,6/12/2001 0:00,,,"N/A","CORE INGESTION.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"213,523",
"US AIRWAYS*","DC-9-30","Airplane","BUFFALO-NIAGARA INTL","< 1000 ft","None","Overcast","None","No damage",,6/11/2001 0:00,,,"New York","NO DMG. CHECKED IN ATLANTA","Take-off run","Day",1,"Small","Mourning dove",,2,0,0,0,0,0,1,"204,870",170
"US AIRWAYS*","B-737-300","Airplane","RONALD REAGAN WASHINGTON NATL","< 1000 ft","None","Some Cloud","None","No damage",,6/11/2001 0:00,,,"DC","NO DMG.","Climb","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,200,,1,"209,844",160
"US AIRWAYS*","A-319","Airplane","LAGUARDIA NY","< 1000 ft","None","Overcast","None","No damage",,6/11/2001 0:00,,,"New York",,"Approach","Day",1,"Medium","Mallard",,2,0,0,0,100,,1,"210,296",140
"US AIRWAYS*","MD-82","Airplane","SAVANNAH INTL","< 1000 ft","None","Overcast","None","No damage",,6/10/2001 0:00,,,"Georgia",,"Take-off run","Day","2 to 10","Small","Rock pigeon",,2,0,0,0,0,0,1,"214,259",
"US AIRWAYS*","A-320","Airplane","LAGUARDIA NY","< 1000 ft","None","Some Cloud","None","No damage",,6/8/2001 0:00,,,"New York","NO DMG.","Take-off run","Day",1,"Small","Rock pigeon",,2,0,0,0,0,0,1,"207,564",
"US AIRWAYS*","A-319","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,6/6/2001 0:00,,,"North Carolina",,"Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,100,,1,"206,797",110
"US AIRWAYS*","A-319","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,6/3/2001 0:00,,,"North Carolina",,"Approach","Day",1,"Medium","Red-tailed hawk",,2,0,0,0,100,,1,"208,218",140
"US AIRWAYS*","B-737-300","Airplane","DALLAS/FORT WORTH INTL ARPT","< 1000 ft",,,,"No damage",,6/3/2001 0:00,,,"Texas","FLT 1786 DEPARTING RWY REPTD A BIRD STRIKE. NO DMG. REPTD. FLT CONTD TO PIT.","Take-off run","Day",1,"Medium","Unknown bird - medium","1,686",2,0,0,0,0,0,1,"205,088",
"US AIRWAYS*","FOKKER F100","Airplane","TOMPKINS COUNTY ARPT","< 1000 ft","None","Some Cloud","None","No damage",,6/3/2001 0:00,,,"New York","FLT DELAYED ON NEXT DEPRT FOR BIRD STRIKE INSPN 22 MINS.","Take-off run","Day","2 to 10",,"Gulls",,2,0,0,0,0,0,1,"214,184",134
"US AIRWAYS*","B-737-300","Airplane","GENERAL MITCHELL INTL","< 1000 ft","None","Overcast","Other","No damage","ODOR IN A/C",6/3/2001 0:00,,,"Wisconsin","GULLS LIFTED OFF IN FRONT OF A/C. AT ROTATION. INGESTION 1 GULL. ODOR IN CABIN. ALL INSTRUMENTS NORMAL. NO DMG FOUND ON INSPN.","Take-off run","Day",1,,"Gulls",,2,0,0,0,0,0,1,"205,129",150
"US AIRWAYS*","B-737-200","Airplane","FORT LAUDERDALE/HOLLYWOOD INTL","< 1000 ft","None","Some Cloud","None","No damage",,5/30/2001 0:00,,,"Florida","NO DMG.","Take-off run","Dusk",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"208,822",
"US AIRWAYS*","B-737-200","Airplane","THEODORE FRANCIS GREEN STATE","< 1000 ft","None","Some Cloud","None","No damage",,5/28/2001 0:00,,,"Rhode Island","FLT 2634. STRIKE REPTD AS HITTING NOSE ON ONE REPORT AND WINDSHLD ON THE OTHER.  BIRD REPTD AS HAWK OR FALCON ON 1 REPT AND OSPREY ON THE OTHER- BY ARPT OPS.","Approach","Day",1,"Large","Osprey",,2,0,0,0,10,,1,"206,332",110
"US AIRWAYS*","MD-80","Airplane","ASHEVILLE REGIONAL ARPT","< 1000 ft","Rain","Overcast",,"No damage",,5/28/2001 0:00,,,"North Carolina",,"Take-off run","Night",1,,"Blackbirds",,2,0,0,0,0,0,1,"210,523",150
"US AIRWAYS*","A-319","Airplane","UNKNOWN","Unknown",,,,"No damage",,5/27/2001 0:00,,,"N/A","CREW NOT AWARE OF STRIKE. FOUND ON PREFLT INSPN AT LGA.",,"Night","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,,,1,"206,665",
"US AIRWAYS*","B-737-300","Airplane","BUFFALO-NIAGARA INTL","< 1000 ft","Rain","Overcast","None","No damage",,5/26/2001 0:00,,,"New York","FLT 1749. INSPN BY MX- NO DMG. (DATA ENTRY NOTE: 1 REPT SAID NO CLOUD AND NO RAIN, OTHER OVERCAST AND RAIN)","Take-off run","Day",1,,"Gulls",,2,0,0,0,0,0,1,"214,077",135
"US AIRWAYS*","B-757-200","Airplane","ORLANDO INTL","Unknown",,,,"No damage",,5/24/2001 0:00,,,"Florida","# STRUCK NOT REPTD, ASSUME 1. ENG # NOT REPTD, ASSUME #1.",,,1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"226,290",
"US AIRWAYS*","B-757-200","Airplane","ORLANDO INTL","< 1000 ft",,,,"No damage",,5/24/2001 0:00,,,"Florida","# BIRDS NOT REPTD, ASSUME 1. ENG # NOT REPTD, ASSUME 1.","Take-off run",,1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"217,477",
"US AIRWAYS*","B-737","Airplane","BALTIMORE WASH INTL","< 1000 ft","Fog","Overcast","None","No damage",,5/19/2001 0:00,,,"Maryland",,"Approach","Day",1,,"Blackbirds",,2,0,0,0,5,,1,"208,531",135
"US AIRWAYS*","A-319","Airplane","PHOENIX SKY HARBOR","< 1000 ft","None","No Cloud","None","No damage",,5/17/2001 0:00,,,"Arizona","BIRD GLANCED OFF LHS RADOME. NO DMG.","Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,500,,1,"206,187",120
"US AIRWAYS*","B-737-300","Airplane","NEW ORLEANS INTL","< 1000 ft","None","No Cloud","None","No damage",,5/14/2001 0:00,,,"Louisiana","FLT 890. HIT LWR RT RADOME/NOSE AREA.","Climb","Day",1,"Small","Unknown bird - small",,2,0,0,0,5,,1,"210,613",144
"US AIRWAYS*","A-320","Airplane","GREATER PITTSBURGH","< 1000 ft","None","Some Cloud","None","No damage",,5/14/2001 0:00,,,"Pennsylvania","NO WILDLIFE FOUND.","Climb","Day","2 to 10",,"Ducks",,2,0,0,0,10,,1,"209,180",180
"US AIRWAYS*","B-737-400","Airplane","LAGUARDIA NY","< 1000 ft","None","No Cloud","None","No damage",,5/13/2001 0:00,,,"New York","INSPN. NO DMG.","Climb","Dawn",1,"Small","Unknown bird - small",,2,0,0,0,100,,1,"207,710",170
"US AIRWAYS*","FOKKER F100","Airplane","HARRISBURG INTL","< 1000 ft","None","Overcast","None","No damage",,5/10/2001 0:00,,,"Pennsylvania",,"Take-off run",,1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"204,470",110
"US AIRWAYS*","B-737","Airplane","LAGUARDIA NY","> 1000 ft","None","No Cloud","None","No damage",,5/9/2001 0:00,,,"New York",,"Approach","Day",1,,"Gulls",,2,0,0,0,"2,000",,1,"208,076",150
"US AIRWAYS*","A-320","Airplane","CYRIL E KING ARPT","< 1000 ft","None","Some Cloud","None","No damage",,5/8/2001 0:00,,,"Virgin Islands","GULL GOT CAUGHT BTWN RT GEAR DOOR & GEAR STRUT.","Approach","Day",1,,"Gulls",,2,0,0,0,100,,1,"206,000",
"US AIRWAYS*","A-319","Airplane","TAMPA INTL","< 1000 ft","None","Some Cloud","None","No damage",,5/6/2001 0:00,,,"Florida","# BIRDS STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.","Landing Roll","Day","2 to 10",,"Sparrows",,2,0,0,0,0,0,1,"206,892",
"US AIRWAYS*","A-319","Airplane","GREATER PITTSBURGH","< 1000 ft","None","No Cloud","None","No damage",,5/5/2001 0:00,,,"Pennsylvania","ALSO HIT ABOVE CAPT WINDSCREEN. POSSIBLE PIGEON.","Climb","Dawn",1,"Small","Rock pigeon",,2,0,0,0,300,,1,"209,580",130
"US AIRWAYS*","MD-80","Airplane","PORT COLUMBUS INTL","< 1000 ft","None","No Cloud","None","No damage",,5/4/2001 0:00,,,"Ohio","GRAY BLACK BIRD APPROX 4-6 LBS.","Climb","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,100,,1,"207,500",
"US AIRWAYS*","A-319","Airplane","SAN DIEGO INTL","< 1000 ft","None","No Cloud","Precautionary Landing","Caused damage","EMERGENCY DECLARED",5/3/2001 0:00,,,"California","BELIEVED TO BE WESTERN GULLS. ENG RAN ROUGH AFTER INGESTION. VIBRATION & EXCESSIVE NOISE. EMERGENCY DECLARED. 4 BENT FAN BLADES. 8 FAN BLADES REPLACED.  LANDING UNEVENTFUL.","Climb","Day","2 to 10","Medium","Western gull",86,2,0,"162,481","162,481",700,,1,"211,775",150
"US AIRWAYS*","B-737-400","Airplane","PHILADELPHIA INTL","Unknown","None","No Cloud","None","No damage",,5/1/2001 0:00,,,"Pennsylvania","LANDED MCO, NO INCIDENT. ATIS WARNING.","Climb","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"208,846",
"US AIRWAYS*","B-737-200","Airplane","BALTIMORE WASH INTL","Unknown","None","Some Cloud","None","No damage",,4/28/2001 0:00,,,"Maryland","BIRD HIT TOP OF FUSELAGE DURING FLARE.","Approach","Day","2 to 10","Small","Unknown bird - small",,2,0,0,0,,,1,"205,430",
"US AIRWAYS*","B-737-400","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","> 1000 ft","None","No Cloud","None","No damage",,4/27/2001 0:00,,,"North Carolina",,"Climb","Night","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,"2,500",,1,"207,680",
"US AIRWAYS*","FOKKER F100","Airplane","HUNTSVILLE INTL","< 1000 ft","None","No Cloud","None","No damage",,4/19/2001 0:00,,,"Alabama","NO DMG (DATA ENTRY NOTE: REPORTS DIFFER ON TIME, ALTITUDE AND SPEED BUT I BELIEVE THEM TO BE THE SAME STRIKE)","Climb","Day",1,"Medium","Unknown bird - medium","1,151",2,0,0,0,750,,1,"208,116",150
"US AIRWAYS*","B-737-300","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,4/18/2001 0:00,,,"North Carolina","FLT 1838. NO DMG.","Approach","Dawn","2 to 10","Small","Unknown bird - small",,2,0,0,0,300,,1,"210,896",128
"US AIRWAYS*","DHC8 DASH 8","Airplane","COLUMBIA METRO","< 1000 ft","None","Overcast",,"No damage",,4/17/2001 0:00,,,"South Carolina","WINDS GUSTNG TO 30 KNOTS","Approach","Day",1,"Small","American kestrel",,2,0,0,0,20,,1,"205,120",90
"US AIRWAYS*","B-737-300","Airplane","RONALD REAGAN WASHINGTON NATL","< 1000 ft","None","No Cloud","None","No damage",,4/17/2001 0:00,,,"DC","FLT 2299","Approach","Day","2 to 10",,"Gulls",,2,0,0,0,10,,1,"208,488",110
"US AIRWAYS*","A-319","Airplane","MYRTLE BEACH INTL","< 1000 ft","None","No Cloud","None","No damage",,4/16/2001 0:00,,,"South Carolina","L ENG INLET STRUCK. NO DMG FOUND ON INSPN.","Approach","Day","2 to 10","Small","Unknown bird - small",,2,0,0,0,400,,1,"208,907",130
"US AIRWAYS*","MD-80","Airplane","THEODORE FRANCIS GREEN STATE","< 1000 ft","None","No Cloud","None","No damage",,4/16/2001 0:00,,,"Rhode Island","NO DMG. CAPT REPTD BIRD AS SMALL, WHITE. CO PILOT  & UNKN PERSON REPTD STARLING.","Landing Roll","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"213,238",80
"US AIRWAYS*","FOKKER F100","Airplane","LAMBERT-ST LOUIS INTL","> 1000 ft","None","Some Cloud","None","No damage",,4/14/2001 0:00,,,"Missouri","INGESTION INTO ENG AFTER HITTING WINDSCREEN.","Climb","Day",1,"Small","Unknown bird - small",,2,0,0,0,"6,500",,1,"208,072",250
"US AIRWAYS*","B-737-300","Airplane","COLEMAN A YOUNG MUNICIPAL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,4/12/2001 0:00,,,"Michigan","WENT THRU FAN BLADES & RIGHT OUT THE BACK OF THE ENG. MTC CHECKED ENG. NO DMG.","Landing Roll","Night",1,,"Gulls",,2,0,0,0,0,0,1,"209,028",
"US AIRWAYS*","B-737-300","Airplane","LAGUARDIA NY","> 1000 ft","Rain","Overcast","None","No damage",,4/11/2001 0:00,,,"New York",,"Climb","Night",1,"Medium","Unknown bird - medium",,2,0,0,0,"1,200",,1,"211,958",180
"US AIRWAYS*","A-319","Airplane","THEODORE FRANCIS GREEN STATE","Unknown","None","No Cloud","None","No damage",,4/10/2001 0:00,,,"Rhode Island","FLT 140. BIRD FOUND IN NOSE LDG GEAR DURING INSPN AFTER FLT. BIRD REPTD AS IMMATURE PEREGRINE FALCON - DONT' KNOW WHO DID ID.","Approach","Day",1,"Medium","Peregrine falcon",,2,0,0,0,,,1,"204,185",
"US AIRWAYS*","B-737-400","Airplane","ASHEVILLE REGIONAL ARPT","> 1000 ft","None","No Cloud","None","No damage",,4/10/2001 0:00,,,"North Carolina","TIME WAS GIVEN AS 0320Z (MIGHT BE ON THE 9TH).","Descent","Night",1,"Medium","Unknown bird - medium",,2,0,0,0,"4,000",,1,"204,652",220
"US AIRWAYS*","B-737-300","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","> 1000 ft","None","No Cloud","None","No damage",,4/10/2001 0:00,,,"North Carolina","DESCENT TO LANDING 3000FT","Approach","Night",1,"Medium","Unknown bird - medium",,2,0,0,0,"3,000",,1,"205,151",
"US AIRWAYS*","A-319","Airplane","RONALD REAGAN WASHINGTON NATL","< 1000 ft","None","No Cloud","None","No damage",,4/5/2001 0:00,,,"DC","BIRD HIT F/O WINDSHLD. NO DMG.","Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,"1,000",,1,"209,541",150
"US AIRWAYS*","B-737-300","Airplane","RONALD REAGAN WASHINGTON NATL","< 1000 ft","None","No Cloud","Precautionary Landing","No damage",,4/5/2001 0:00,,1,"DC","INJURY. PILOT HIT L EYE ON CONTROL YOKE THINKING THE GEESE WERE ABOUT TO HIT HEAD ON. MINOR DAMAGE. GEESE WERE VERY LARGE.","Climb","Night","2 to 10",,"Geese",,2,0,0,0,900,,1,"207,590",195
"US AIRWAYS*","FOKKER F100","Airplane","ATLANTA INTL","< 1000 ft","None","Some Cloud","None","No damage",,4/4/2001 0:00,,,"Georgia","NO DMG","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,330,,1,"203,344",140
"US AIRWAYS*","B-737-300","Airplane","KANSAS CITY INTL","< 1000 ft","None","Some Cloud","None","Caused damage",,4/4/2001 0:00,,,"Missouri","DAMAGED BLADES 12, 13, 31 AND 32. THEY WERE CHANGED.","Take-off run","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"207,537",135
"US AIRWAYS*","MD-80","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","Rain","Overcast","None","No damage",,4/3/2001 0:00,,,"North Carolina","FLT 989","Approach","Day",1,"Medium","Ring-billed gull",,2,0,0,0,100,,1,"205,659",138
"US AIRWAYS*","B-737-300","Airplane","KANSAS CITY INTL","< 1000 ft","Rain","Overcast","None","No damage",,4/2/2001 0:00,,,"Missouri","NO DMG. 2ND REPT HAD WRONG N# (N383AU) AND ALT AT 100 FT","Approach","Day",1,"Medium","Red-tailed hawk",,2,0,0,0,5,,1,"205,098",138
"US AIRWAYS*","B-737-300","Airplane","PENSACOLA REGIONAL","> 1000 ft","None","No Cloud","None","Caused damage",,3/26/2001 0:00,,,"Florida","BIRD PUT LRG DENT IN RT ENG COWL. NO ENG DMG REPTD. ENG INDICATIONS NORMAL.","Descent","Night","2 to 10","Large","Unknown bird - large",,2,0,0,0,"11,000",,1,"204,248",
"US AIRWAYS*","A-320","Airplane","JACKSONVILLE INTL","< 1000 ft","None","No Cloud","None","No damage",,3/25/2001 0:00,,,"Florida","LWR LHS RADOME HIT.","Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,"1,000",,1,"210,899",140
"US AIRWAYS*","A-319","Airplane","SOUTHWEST FLORIDA INTL ARPT","< 1000 ft","Fog","Some Cloud","None","No damage",,3/24/2001 0:00,,,"Florida","PILOT REPTD GLANCING BLOW OF FUSELAGE ABOVE CO/P WINDOW. NO DMG.","Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,500,,1,"209,212",150
"US AIRWAYS*","B-737-200","Airplane","ORLANDO INTL","< 1000 ft","None","No Cloud","None","No damage",,3/23/2001 0:00,,,"Florida","US 260N","Climb","Day",1,"Small","Unknown bird - small",,2,0,0,0,10,,1,"205,241",155
"US AIRWAYS*","FOKKER F100","Airplane","LEHIGH VALLEY INTL","< 1000 ft",,,,"No damage",,3/22/2001 0:00,,,"Pennsylvania","PILOT ADZ HE POSSIBLY HIT A HAWK.FLT 1242.","Take-off run","Day",1,,"Hawks",,2,0,0,0,0,0,1,"203,325",
"US AIRWAYS*","MD-82","Airplane","ASHEVILLE REGIONAL ARPT","< 1000 ft","Snow","Overcast",,"Caused damage",,3/20/2001 0:00,,,"North Carolina","#2 NOSE GEAR LDG LITE DESTROYED.","Landing Roll","Day","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"201,846",120
"US AIRWAYS*","B-737-300","Airplane","LAGUARDIA NY","< 1000 ft","None","No Cloud","None","No damage",,3/19/2001 0:00,,,"New York",,"Approach","Day",1,,"Gulls",,2,0,0,0,200,,1,"202,171",140
"US AIRWAYS*","A-319","Airplane","RONALD REAGAN WASHINGTON NATL","< 1000 ft","None","No Cloud","None","No damage",,3/18/2001 0:00,,,"DC","ALT = 1000-1500. ENG PARAMETER NORMAL.","Climb","Day",1,,"Gulls",,2,0,0,0,"1,000",,1,"206,476",190
"US AIRWAYS*","B-737-300","Airplane","PORT COLUMBUS INTL","< 1000 ft","Rain","Overcast","None","No damage",,3/16/2001 0:00,,,"Ohio","BIRD HIT FUSELAGE JUST ABOVE CENTER WINDSHLD POST. NO DMG.FLT 296.","Landing Roll","Day",1,,"Sparrows",,2,0,0,0,0,0,1,"210,127",110
"US AIRWAYS*","B-737-400","Airplane","PHILADELPHIA INTL","Unknown","None","No Cloud","None","No damage",,3/14/2001 0:00,,,"Pennsylvania","FLT 539. # BIRDS NOT REPTD, ASSUME 1","Climb","Dusk",1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"209,211",
"US AIRWAYS*","B-737-400","Airplane","ORLANDO INTL","< 1000 ft","None","No Cloud","None","No damage",,3/13/2001 0:00,,,"Florida","SWALLOW OR SPARROW","Climb","Day",1,"Small","Unknown bird - small",,2,0,0,0,20,,1,"209,489",180
"US AIRWAYS*","B-757-200","Airplane","RONALD REAGAN WASHINGTON NATL","< 1000 ft","None","No Cloud","None","No damage",,3/13/2001 0:00,,,"DC","SUSPECT ABOVE CAPT WINDSHLD.","Climb","Dusk",1,,"Gulls",,2,0,0,0,"1,000",,1,"208,101",150
"US AIRWAYS*","B-737-200","Airplane","LAGUARDIA NY","> 1000 ft","None","Overcast","None","No damage",,3/12/2001 0:00,,,"New York","NO DMG FOUND ON L FWD FUSELAGE","Climb","Night","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,"1,200",,1,"206,240",170
"US AIRWAYS*","FOKKER F100","Airplane","ALBANY INTL","< 1000 ft","None","Some Cloud","None","No damage",,3/11/2001 0:00,,,"New York","HIT BIRDS 60' INTO LDG ROLL. INSPN FOUND NO DMG","Landing Roll","Day","2 to 10","Small","Unknown bird - small",,2,0,0,0,0,0,1,"208,492",
"US AIRWAYS*","A-320","Airplane","LUIS MUNOZ MARIN INTL -SAN JUAN","< 1000 ft","None","No Cloud","None","Caused damage",,3/11/2001 0:00,,,"Puerto Rico","SMALL DING JUST BELOW WINDSHLD.","Approach","Day",1,,"Gulls",,2,0,0,0,100,,1,"208,022",110
"US AIRWAYS*","B-737-300","Airplane","LAMBERT-ST LOUIS INTL","< 1000 ft","None","No Cloud","None","No damage",,3/10/2001 0:00,,,"Missouri","FLT 941. ATIS WARNING. SAW LRG FLOKC OF SML BIRDS ON FIANL. DURING LDG FLARE SAW 1 LRG BIRD. THOUGHT WE HAD MISSED IT BUT A/C WAITING TO TAKE OFF REPTD THE STRIKE AND REMAINS OF BIRD ON RWY. BIRD HIT LE OF RT WING OTBD OF ENG. MAINT INSPN FOUND NO DMG. DE","Approach","Day",1,,"Hawks",,2,0,0,0,5,,1,"202,635",130
"US AIRWAYS*","A-319","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","Precautionary Landing","Caused damage",,3/9/2001 0:00,,,"North Carolina","HIT BIRD ON ROTATION.FLT 110. (DATA ENTRY NOTE: 1 REPT SHOWS 1 GULL SEEN/STRUCK THE OTHER SHOWS 2-10 SEEN/STRUCK) DAMAGED 6 FAN BLADES.","Take-off run","Day","2 to 10","Medium","Ring-billed gull",,2,0,0,0,0,0,1,"205,481",125
"US AIRWAYS*","A-319","Airplane","RALEIGH-DURHAM INTL","< 1000 ft","None","Some Cloud","None","No damage",,3/5/2001 0:00,,,"North Carolina",,"Climb","Day",1,,"Hawks",,2,0,0,0,100,,1,"204,848",
"US AIRWAYS*","A-319","Airplane","MINNEAPOLIS-ST PAUL INTL","< 1000 ft","None","No Cloud","None","No damage",,2/27/2001 0:00,,,"Minnesota","HEARD THUD, BUT NO BLOOD ON POST FLT INSPN.","Approach","Day",1,,"Ducks",,2,0,0,0,400,,1,"209,311",140
"US AIRWAYS*","B-737-400","Airplane","CHARLESTON AFB/INTL ARPT","> 1000 ft","None","Some Cloud","None","No damage",,2/25/2001 0:00,,,"South Carolina","NO DMG","Approach","Dusk",1,"Medium","Unknown bird - medium",,2,0,0,0,"2,500",,1,"208,826",165
"US AIRWAYS*","B-737-300","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,2/25/2001 0:00,,,"North Carolina","BIRDS WERE BLACK.","Approach","Night","2 to 10",,"Blackbirds",,2,0,0,0,350,,1,"207,743",140
"US AIRWAYS*","B-737-300","Airplane","COLUMBIA METRO","< 1000 ft","None","No Cloud","None","No damage",,2/19/2001 0:00,,,"South Carolina",,"Take-off run","Day",1,"Large","Unknown bird - large",,2,0,0,0,0,0,1,"207,637",90
